iter,layer,entropy_nats,uniform_nats,max_logit,heads_sampled
75126,35,2.3277,7.32079,26.8438,4
75126,36,2.61648,7.32079,27.6213,4
75126,37,2.62169,7.32079,20.5278,4
75126,38,2.10003,7.32079,24.79,4
75126,39,2.84811,7.32079,22.753,4
75126,40,2.66656,7.32079,24.6786,4
75126,41,2.64627,7.32079,23.8467,4
75126,42,2.75919,7.32079,20.1486,4
75126,43,2.92187,7.32079,19.2925,4
75126,44,2.87027,7.32079,22.1671,4
75126,45,2.91431,7.32079,23.961,4
75126,46,2.65484,7.32079,22.9932,4
75126,47,3.29405,7.32079,22.907,4
75126,48,2.51891,7.32079,24.4634,4
75126,49,2.82615,7.32079,18.8401,4
75126,50,2.827,7.32079,23.2878,4
75126,51,2.83816,7.32079,25.1843,4
75126,52,2.80858,7.32079,22.6516,4
75126,53,2.78969,7.32079,23.9623,4
75126,54,2.75903,7.32079,21.6272,4
75126,55,3.11874,7.32079,22.6171,4
75126,56,2.98088,7.32079,25.7005,4
75126,57,3.13193,7.32079,22.2713,4
75126,58,2.94937,7.32079,22.9911,4
75126,59,3.08337,7.32079,21.3181,4
75126,60,3.78815,7.32079,22.8801,4
75126,61,3.61348,7.32079,23.3644,4
75126,62,5.3756,7.32079,18.1486,4
75126,63,5.57481,7.32079,13.6233,4
