iter,tensor,layer,n,median_abs,min_abs,frac_negative,frac_below_50pct_med,frac_below_25pct_med,frac_below_10pct_med,frac_below_01pct_med,p01_over_med,p10_over_med
8000,linear_fc1,51,5120,1.11719,0.921875,0,0,0,0,0,0.916084,0.979021
8000,linear_fc1,52,5120,1.125,0.914062,0,0,0,0,0,0.902778,0.972222
8000,linear_fc1,53,5120,1.125,0.902344,0,0,0,0,0,0.895833,0.972222
8000,linear_fc1,54,5120,1.125,0.898438,0,0,0,0,0,0.888889,0.972222
8000,linear_fc1,55,5120,1.125,0.902344,0,0,0,0,0,0.885417,0.972222
8000,linear_fc1,56,5120,1.125,0.902344,0,0,0,0,0,0.879132,0.965278
8000,linear_fc1,57,5120,1.125,0.914062,0,0,0,0,0,0.878472,0.965278
8000,linear_fc1,58,5120,1.11719,0.921875,0,0,0,0,0,0.88528,0.965035
8000,linear_fc1,59,5120,1.10938,0.933594,0,0,0,0,0,0.894366,0.964789
8000,linear_fc1,60,5120,1.09375,0.9375,0,0,0,0,0,0.907143,0.964286
8000,linear_fc1,61,5120,1.07812,0.949219,0,0,0,0,0,0.923913,0.963768
8000,linear_fc1,62,5120,1.04688,0.964844,0,0,0,0,0,0.947761,0.977612
8000,linear_fc1,63,5120,1.00781,0.960938,0,0,0,0,0,0.98062,0.992248
8000,q_layernorm,0,128,0.988281,0.777344,0,0,0,0,0,0.823834,0.902767
8000,q_layernorm,1,128,1.20312,1.08594,0,0,0,0,0,0.915584,0.928571
8000,q_layernorm,2,128,1.25,1.17188,0,0,0,0,0,0.945438,0.96875
8000,q_layernorm,3,128,1.34375,1.19531,0,0,0,0,0,0.895349,0.918605
8000,q_layernorm,4,128,1.28906,1.16406,0,0,0,0,0,0.909091,0.943636
8000,q_layernorm,5,128,1.30469,1.17188,0,0,0,0,0,0.907425,0.94012
8000,q_layernorm,6,128,1.41406,1.19531,0,0,0,0,0,0.855304,0.90442
8000,q_layernorm,7,128,1.38281,0.582031,0,0.0234375,0,0,0,0.458079,0.932768
8000,q_layernorm,8,128,1.35156,1.15625,0,0,0,0,0,0.862832,0.90578
8000,q_layernorm,9,128,1.25781,1.10156,0,0,0,0,0,0.900621,0.942236
8000,q_layernorm,10,128,1.30469,1.1875,0,0,0,0,0,0.916168,0.938323
8000,q_layernorm,11,128,1.29688,1.125,0,0,0,0,0,0.881145,0.931928
8000,q_layernorm,12,128,1.21875,1.07812,0,0,0,0,0,0.886346,0.948718
8000,q_layernorm,13,128,1.22656,0.964844,0,0,0,0,0,0.793854,0.904459
8000,q_layernorm,14,128,1.14062,0.921875,0,0,0,0,0,0.814418,0.866438
8000,q_layernorm,15,128,1.25,1.08594,0,0,0,0,0,0.882938,0.95
8000,q_layernorm,16,128,1.14844,0.835938,0,0,0,0,0,0.769898,0.840816
8000,q_layernorm,17,128,1.34375,1.14062,0,0,0,0,0,0.850407,0.893605
8000,q_layernorm,18,128,1.28125,0.886719,0,0,0,0,0,0.698171,0.811585
8000,q_layernorm,19,128,1.40625,1.15625,0,0,0,0,0,0.823722,0.881667
8000,q_layernorm,20,128,1.26562,0.804688,0,0,0,0,0,0.644475,0.711728
8000,q_layernorm,21,128,1.34375,0.789062,0,0,0,0,0,0.59593,0.664244
8000,q_layernorm,22,128,1.40625,0.6875,0,0.0078125,0,0,0,0.509833,0.660556
8000,q_layernorm,23,128,1.375,1.11719,0,0,0,0,0,0.835227,0.892614
8000,q_layernorm,24,128,1.30469,1.04688,0,0,0,0,0,0.811617,0.916168
8000,q_layernorm,25,128,1.3125,0.785156,0,0,0,0,0,0.611161,0.770833
8000,q_layernorm,26,128,1.32031,0.746094,0,0,0,0,0,0.573964,0.589941
8000,q_layernorm,27,128,1.33594,0.777344,0,0,0,0,0,0.610789,0.826901
8000,q_layernorm,28,128,1.30469,0.730469,0,0,0,0,0,0.55988,0.58503
8000,q_layernorm,29,128,1.35938,0.742188,0,0,0,0,0,0.555374,0.612356
8000,q_layernorm,30,128,1.35156,1.03125,0,0,0,0,0,0.766127,0.82659
8000,q_layernorm,31,128,1.23438,0.765625,0,0,0,0,0,0.623418,0.638291
8000,q_layernorm,32,128,1.28906,0.828125,0,0,0,0,0,0.647091,0.781818
8000,q_layernorm,33,128,1.26562,0.761719,0,0,0,0,0,0.604938,0.616358
8000,q_layernorm,34,128,1.28906,0.757812,0,0,0,0,0,0.590909,0.611212
8000,q_layernorm,35,128,1.27344,0.851562,0,0,0,0,0,0.689601,0.803681
8000,q_layernorm,36,128,1.24219,0.785156,0,0,0,0,0,0.642359,0.671069
8000,q_layernorm,37,128,1.11719,0.796875,0,0,0,0,0,0.72028,0.734266
8000,q_layernorm,38,128,1.24219,1.04688,0,0,0,0,0,0.867925,0.945912
8000,q_layernorm,39,128,1.13281,0.8125,0,0,0,0,0,0.721621,0.727586
8000,q_layernorm,40,128,1.1875,0.792969,0,0,0,0,0,0.668651,0.6875
8000,q_layernorm,41,128,1.15625,0.808594,0,0,0,0,0,0.700237,0.715203
8000,q_layernorm,42,128,1.13281,0.8125,0,0,0,0,0,0.72069,0.727586
8000,q_layernorm,43,128,1.125,0.808594,0,0,0,0,0,0.72316,0.736111
8000,q_layernorm,44,128,1.14844,0.800781,0,0,0,0,0,0.697279,0.710884
8000,q_layernorm,45,128,1.21875,0.757812,0,0,0,0,0,0.625865,0.641026
8000,q_layernorm,46,128,1.19531,0.714844,0,0,0,0,0,0.598039,0.65915
8000,q_layernorm,47,128,1.16406,0.773438,0,0,0,0,0,0.672047,0.681208
8000,q_layernorm,48,128,1.25781,0.761719,0,0,0,0,0,0.614565,0.682298
8000,q_layernorm,49,128,1.17969,0.636719,0,0,0,0,0,0.549669,0.632781
8000,q_layernorm,50,128,1.17969,0.8125,0,0,0,0,0,0.710397,0.870199
8000,q_layernorm,51,128,1.25,0.804688,0,0,0,0,0,0.697719,0.777187
8000,q_layernorm,52,128,1.22656,0.886719,0,0,0,0,0,0.750987,0.866879
8000,q_layernorm,53,128,1.27344,0.699219,0,0,0,0,0,0.562178,0.659816
8000,q_layernorm,54,128,1.24219,0.71875,0,0,0,0,0,0.58805,0.624214
8000,q_layernorm,55,128,1.24219,1.11719,0,0,0,0,0,0.918239,0.941509
8000,q_layernorm,56,128,1.23438,1.07031,0,0,0,0,0,0.878544,0.943038
8000,q_layernorm,57,128,1.21875,0.851562,0,0,0,0,0,0.763686,0.910256
8000,q_layernorm,58,128,1.21875,1.09375,0,0,0,0,0,0.899167,0.923077
8000,q_layernorm,59,128,1.25781,1.11719,0,0,0,0,0,0.903975,0.937888
8000,q_layernorm,60,128,1.17188,1.07031,0,0,0,0,0,0.92,0.946667
8000,q_layernorm,61,128,1.15625,1.02344,0,0,0,0,0,0.905405,0.930405
8000,q_layernorm,62,128,1.13281,1.03906,0,0,0,0,0,0.931034,0.951724
8000,q_layernorm,63,128,1.07031,0.945312,0,0,0,0,0,0.902044,0.963504
8000,k_layernorm,0,128,0.988281,0.8125,0,0,0,0,0,0.840079,0.905138
8000,k_layernorm,1,128,1.19531,1.08594,0,0,0,0,0,0.921569,0.934641
8000,k_layernorm,2,128,1.25,1.14844,0,0,0,0,0,0.939188,0.96875
8000,k_layernorm,3,128,1.33594,1.17188,0,0,0,0,0,0.890468,0.918129
8000,k_layernorm,4,128,1.28125,1.13281,0,0,0,0,0,0.884146,0.939024
8000,k_layernorm,5,128,1.30469,1.14844,0,0,0,0,0,0.886228,0.94012
8000,k_layernorm,6,128,1.40625,1.10938,0,0,0,0,0,0.832722,0.905556
8000,k_layernorm,7,128,1.38281,0.515625,0,0.0234375,0,0,0,0.444859,0.889266
8000,k_layernorm,8,128,1.34375,1.07812,0,0,0,0,0,0.851977,0.912791
8000,k_layernorm,9,128,1.25,1.03125,0,0,0,0,0,0.867562,0.941875
8000,k_layernorm,10,128,1.29688,1.10156,0,0,0,0,0,0.858675,0.933735
8000,k_layernorm,11,128,1.28906,1.05469,0,0,0,0,0,0.862242,0.923636
8000,k_layernorm,12,128,1.21094,1.09375,0,0,0,0,0,0.903226,0.941935
8000,k_layernorm,13,128,1.21875,0.933594,0,0,0,0,0,0.795737,0.901923
8000,k_layernorm,14,128,1.14062,0.917969,0,0,0,0,0,0.814418,0.865411
8000,k_layernorm,15,128,1.24219,1.0625,0,0,0,0,0,0.869623,0.947799
8000,k_layernorm,16,128,1.14844,0.835938,0,0,0,0,0,0.765578,0.823469
8000,k_layernorm,17,128,1.33594,1.125,0,0,0,0,0,0.847953,0.920468
8000,k_layernorm,18,128,1.28125,0.871094,0,0,0,0,0,0.698994,0.790854
8000,k_layernorm,19,128,1.39844,1.0625,0,0,0,0,0,0.77486,0.877095
8000,k_layernorm,20,128,1.25781,0.800781,0,0,0,0,0,0.656118,0.720807
8000,k_layernorm,21,128,1.33594,0.777344,0,0,0,0,0,0.603129,0.675146
8000,k_layernorm,22,128,1.39844,0.691406,0,0.015625,0,0,0,0.501732,0.682402
8000,k_layernorm,23,128,1.375,1.03125,0,0,0,0,0,0.764432,0.880682
8000,k_layernorm,24,128,1.29688,1.04688,0,0,0,0,0,0.810482,0.915663
