iter,layer,h_in_rms,attn_rms,attn_ratio,attn_cos,h_mid_rms,mlp_rms,mlp_ratio,mlp_cos,h_out_rms,attn_gain_rms,mlp_gain_rms
8000,10,10.62,1.32079,0.124368,0.123873,10.863,2.35265,0.216574,0.144213,11.4416,0.98738,0.897884
8000,11,11.4416,0.912573,0.0797595,0.105173,11.5732,2.37689,0.20538,0.120521,12.0921,0.971577,0.909347
8000,12,12.0921,0.764795,0.0632478,0.0932911,12.1872,2.43574,0.19986,0.112856,12.6949,0.963419,0.919109
8000,13,12.6949,0.628768,0.0495294,0.0329215,12.7311,2.47083,0.194078,0.0976556,13.2034,0.962439,0.929594
8000,14,13.2034,0.476546,0.0360927,0.0152486,13.2193,2.49278,0.188572,0.0805427,13.6481,0.947334,0.93709
8000,15,13.6481,0.844994,0.061913,0.0853411,13.746,2.53627,0.18451,0.0684084,14.1475,0.966618,0.943985
8000,16,14.1475,0.59477,0.0420405,0.0489984,14.1891,2.64084,0.186118,0.0507581,14.5639,0.956051,0.948175
8000,17,14.5639,2.51884,0.172951,0.141418,15.127,2.73996,0.18113,0.0577251,15.528,1.02098,0.949728
8000,18,15.528,0.947812,0.0610387,0.0909021,15.6427,2.77031,0.177099,0.0509586,16.0244,0.967854,0.955229
8000,19,16.0244,2.13325,0.133125,0.117013,16.4114,2.81087,0.171276,0.0467398,16.7794,1.01341,0.962434
8000,20,16.7794,0.898215,0.053531,0.0730716,16.8688,2.85267,0.16911,0.0495959,17.2471,0.966346,0.966474
8000,21,17.2471,1.58543,0.091924,0.0441861,17.3894,2.89202,0.166309,0.0463905,17.7601,0.98119,0.971522
8000,22,17.7601,2.21357,0.124637,0.0627599,18.0348,2.88094,0.159743,0.0267696,18.3395,1.03758,0.97597
8000,23,18.3395,2.21973,0.121035,0.142612,18.785,2.90756,0.154781,0.038288,19.1184,1.02854,0.978472
8000,24,19.1184,2.64385,0.138288,0.137003,19.6558,2.94508,0.149832,0.0518346,20.0256,1.02057,0.984532
8000,25,20.0256,1.71973,0.0858767,0.0872853,20.2482,2.95254,0.145817,0.0568005,20.6276,1.00101,0.990332
8000,26,20.6276,0.963052,0.0466877,0.0507205,20.6987,2.98801,0.144357,0.05492,21.0751,0.978066,0.995021
8000,27,21.0751,2.44494,0.116011,0.108039,21.4772,3.01374,0.140322,0.0671692,21.8871,1.03612,1.00084
8000,28,21.8871,1.20828,0.0552049,0.0692714,22.0038,3.04302,0.138295,0.0713901,22.4274,0.984786,1.00605
8000,29,22.4274,1.23207,0.0549357,0.0612392,22.5363,3.05032,0.135351,0.0752089,22.968,1.00072,1.01179
8000,30,22.968,1.42267,0.0619416,0.115827,23.1759,3.12768,0.134954,0.0788306,23.629,1.00673,1.01752
8000,31,23.629,0.699287,0.0295945,0.0638961,23.6839,3.18074,0.134299,0.0835765,24.1586,0.961644,1.02305
8000,32,24.1586,1.01592,0.0420522,0.117614,24.299,3.20511,0.131903,0.0841173,24.7753,0.972282,1.02702
8000,33,24.7753,0.732237,0.0295551,0.0468576,24.8203,3.26433,0.131519,0.086008,25.3109,0.965598,1.03255
8000,34,25.3109,1.27657,0.0504357,0.0845797,25.4506,3.31402,0.130214,0.0875058,25.9513,0.981772,1.03768
8000,35,25.9513,1.06439,0.0410147,0.122576,26.1032,3.3577,0.128632,0.0901244,26.6166,0.967479,1.04309
8000,36,26.6166,0.641503,0.0241016,0.0560488,26.6602,3.38598,0.127005,0.089209,27.1723,0.956908,1.04794
8000,37,27.1723,0.373457,0.013744,0.0135278,27.1799,3.41753,0.125738,0.0844606,27.6787,0.945962,1.05339
8000,38,27.6787,0.976691,0.0352867,0.196749,27.8873,3.48074,0.124815,0.0869747,28.4025,0.962447,1.05839
8000,39,28.4025,0.404727,0.0142497,0.0329212,28.4186,3.52324,0.123976,0.0868476,28.9383,0.945757,1.06336
8000,40,28.9383,0.522441,0.0180536,0.035342,28.9614,3.57254,0.123355,0.0861437,29.4847,0.951207,1.06813
8000,41,29.4847,0.421615,0.0142994,0.028016,29.4995,3.61791,0.122643,0.0817047,30.0124,0.947265,1.07371
8000,42,30.0124,0.379143,0.0126329,0.0121245,30.0194,3.65002,0.121589,0.0788575,30.5248,0.946515,1.0785
8000,43,30.5248,0.424303,0.0139003,0.0249067,30.5382,3.68501,0.120669,0.0764428,31.0381,0.948011,1.08313
8000,44,31.0381,0.463371,0.0149291,0.0160888,31.049,3.7084,0.119437,0.0731736,31.538,0.949292,1.08788
8000,45,31.538,0.96192,0.0305004,0.0344856,31.5857,3.74469,0.118557,0.0733218,32.0784,0.968887,1.09223
8000,46,32.0784,0.883954,0.0275561,0.0399166,32.1257,3.75401,0.116854,0.0720645,32.6118,0.97725,1.09654
8000,47,32.6118,1.07442,0.0329458,0.0336567,32.6656,3.79234,0.116096,0.0714054,33.1529,0.962473,1.10104
8000,48,33.1529,1.19842,0.0361484,0.0662877,33.2538,3.8514,0.115818,0.0735515,33.7563,0.998016,1.10503
8000,49,33.7563,1.20464,0.0356864,0.0441644,33.8309,3.90205,0.11534,0.0735426,34.339,1.00664,1.10912
8000,50,34.339,0.986526,0.028729,0.0426287,34.3951,3.94818,0.114789,0.0731141,34.9066,0.967968,1.11192
8000,51,34.9066,0.754859,0.0216251,0.0606218,34.9604,3.98249,0.113915,0.0774402,35.4915,0.974976,1.11458
8000,52,35.4915,0.620261,0.0174763,0.0804966,35.5467,4.02241,0.113158,0.0795186,36.0899,0.965696,1.11704
8000,53,36.0899,1.19931,0.0332313,0.0767852,36.2017,4.08974,0.112971,0.0917882,36.8031,1.00054,1.11922
8000,54,36.8031,0.968372,0.0263123,0.0511829,36.8652,4.1353,0.112173,0.102132,37.5136,0.984952,1.12055
8000,55,37.5136,2.16347,0.0576717,0.171853,37.9452,4.3127,0.113656,0.1354,38.7653,1.01091,1.12041
8000,56,38.7653,1.50055,0.0387087,0.150565,39.0193,4.44717,0.113974,0.171503,40.0224,0.988966,1.12035
8000,57,40.0224,1.49743,0.0374148,0.108695,40.2125,4.70963,0.117119,0.214465,41.4783,1.01013,1.11644
8000,58,41.4783,1.57185,0.0378956,0.2074,41.8325,5.20583,0.124445,0.282581,43.5904,1.00801,1.11119
8000,59,43.5904,1.71821,0.0394171,0.25625,44.0619,6.37769,0.144744,0.368241,46.7875,1.01051,1.10347
8000,60,46.7875,0.860397,0.0183894,0.226164,46.9895,6.98718,0.148697,0.441693,50.4665,0.987019,1.08971
