iter,bucket,numel,m_rms,sqrt_v_rms,param_rms,sqrt_v_p01,sqrt_v_p50,sqrt_v_p99,frac_sqrtv_below_1e6eps,frac_sqrtv_below_1e3eps,frac_sqrtv_below_10eps,step_p50,step_p99,rel_step_p50
68000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,4.30333e-08,2.36074e-07,0.0425511,5.59301e-08,1.20531e-07,4.34202e-07,1,0.999991,0.214453,0.148799,0.515038,4.45017
68000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,6.21301e-08,4.23587e-07,0.037302,1.50377e-08,6.42208e-08,4.31424e-07,1,0.999944,0.685512,0.122655,0.462796,4.23095
68000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.91162e-08,1.14031e-07,0.0425761,9.44637e-09,5.38254e-08,2.02664e-07,1,0.999995,0.934428,0.128982,0.485788,3.9884
68000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.39813e-08,6.20245e-08,0.0423617,4.24345e-09,5.44435e-08,1.07667e-07,1,0.999999,0.985806,0.129555,0.472012,3.97977
68000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.66481e-08,2.17012e-07,0.0423341,3.0467e-08,9.10545e-08,4.00937e-07,1,0.99999,0.639278,0.144618,0.504049,4.4014
68000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.55204e-08,2.58728e-07,0.0425632,4.38753e-08,1.03334e-07,4.86692e-07,1,0.999982,0.449751,0.14742,0.51228,4.44033
68000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.31246e-08,2.38283e-07,0.04258,4.10967e-08,1.03143e-07,4.0672e-07,1,0.999986,0.452166,0.1472,0.511694,4.42704
68000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.96987e-08,1.10628e-07,0.0425137,9.79298e-09,5.38175e-08,2.02158e-07,1,0.999995,0.93302,0.130968,0.487031,4.05699
72000,"optimizer.distributed.dp_group_idx_0.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",154675456,4.38144e-08,2.39151e-07,0.0432189,5.83695e-08,1.27481e-07,4.58384e-07,1,0.999991,0.155198,0.141147,0.499853,4.15365
72000,"optimizer.distributed.dp_group_idx_1.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_3",132398336,7.18907e-08,4.65817e-07,0.0380644,1.86438e-08,7.17005e-08,4.45675e-07,1,0.999948,0.633552,0.127365,0.462172,4.30597
72000,"optimizer.distributed.dp_group_idx_11.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.06909e-08,1.20658e-07,0.0431816,1.09905e-08,5.85082e-08,2.10123e-07,1,0.999996,0.906887,0.130564,0.489695,3.97816
72000,"optimizer.distributed.dp_group_idx_14.gbuf_idx_2.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,1.39112e-08,6.25449e-08,0.042894,4.45082e-09,5.38977e-08,1.09266e-07,1,0.999999,0.985593,0.129519,0.472129,3.9265
72000,"optimizer.distributed.dp_group_idx_2.gbuf_idx_1.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,3.61615e-08,2.34785e-07,0.0430318,3.00856e-08,9.14635e-08,4.14649e-07,1,0.999989,0.631555,0.13646,0.483992,4.08188
72000,"optimizer.distributed.dp_group_idx_4.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.94834e-08,2.57638e-07,0.0432504,4.31091e-08,1.0508e-07,5.02101e-07,1,0.999983,0.423656,0.137682,0.489941,4.07758
72000,"optimizer.distributed.dp_group_idx_7.gbuf_idx_0.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,4.72903e-08,2.41007e-07,0.0432649,4.23839e-08,1.04915e-07,4.23803e-07,1,0.999986,0.42562,0.137744,0.489967,4.07345
72000,"optimizer.distributed.dp_group_idx_9.gbuf_idx_3.dtype_(torch.bfloat16, torch.float32).bucket_idx_0",487629824,2.09032e-08,1.19778e-07,0.0431568,1.16524e-08,5.84316e-08,2.07188e-07,1,0.999995,0.907664,0.132876,0.490773,4.05057
