iter,tensor,layer,mean,rms,max,min
63125,k_layernorm,12,1.59174,1.60601,2.01562,0.894531
63125,k_layernorm,13,1.53203,1.56558,2.3125,0.0500488
63125,k_layernorm,14,1.49137,1.5224,1.91406,0.0878906
63125,k_layernorm,15,1.63224,1.65468,2.17188,0.219727
63125,k_layernorm,16,1.47809,1.50845,2.4375,0.369141
63125,k_layernorm,17,1.66614,1.68616,2.01562,0.632812
63125,k_layernorm,18,1.59839,1.65476,2.10938,0.0296631
63125,k_layernorm,19,1.68635,1.73452,2.14062,0.02771
63125,k_layernorm,20,1.55332,1.60069,2.09375,0.0205078
63125,k_layernorm,21,1.5429,1.60542,2.03125,0.00830078
63125,k_layernorm,22,1.63728,1.71014,2.09375,0.00521851
63125,k_layernorm,23,1.60583,1.6439,1.96094,0.0654297
63125,k_layernorm,24,1.59966,1.63292,2.15625,0.0043335
63125,k_layernorm,25,1.50361,1.59574,2.09375,-0.0319824
63125,k_layernorm,26,1.33187,1.45686,1.89844,0.0219727
63125,k_layernorm,27,1.51094,1.59832,2.125,0.00421143
63125,k_layernorm,28,1.29465,1.42611,1.86719,0.020874
63125,k_layernorm,29,1.35473,1.47439,1.83594,0.0302734
63125,k_layernorm,30,1.43169,1.50229,1.91406,0.00378418
63125,k_layernorm,31,1.3334,1.42796,1.85938,0.0664062
63125,k_layernorm,32,1.49812,1.5636,1.89062,0.0258789
63125,k_layernorm,33,1.22732,1.37738,1.80469,0.0556641
63125,k_layernorm,34,1.33317,1.47226,1.96875,0.0154419
63125,k_layernorm,35,1.47633,1.56168,1.98438,0.0385742
63125,k_layernorm,36,1.36076,1.46695,2,0.100586
63125,k_layernorm,37,1.2821,1.33506,1.89062,0.416016
63125,k_layernorm,38,1.61517,1.62845,2.07812,0.648438
63125,k_layernorm,39,1.41605,1.45965,2.01562,0.253906
63125,k_layernorm,40,1.2859,1.37711,1.85938,0.171875
63125,k_layernorm,41,1.30183,1.38259,1.875,0.230469
63125,k_layernorm,42,1.20102,1.27218,1.875,0.378906
63125,k_layernorm,43,1.24663,1.32675,1.9375,0.300781
63125,k_layernorm,44,1.20245,1.30204,1.88281,0.271484
63125,k_layernorm,45,1.20651,1.33508,1.86719,0.103516
63125,k_layernorm,46,1.28729,1.4072,2,0.0476074
63125,k_layernorm,47,1.20032,1.30165,1.875,0.123535
63125,k_layernorm,48,1.40148,1.49324,1.83594,0.0368652
63125,k_layernorm,49,1.2507,1.35318,1.78906,0.00145721
63125,k_layernorm,50,1.42064,1.4576,1.85156,0.133789
63125,k_layernorm,51,1.36571,1.45197,1.84375,0.0230713
63125,k_layernorm,52,1.47198,1.51601,1.94531,0.052002
63125,k_layernorm,53,1.36295,1.45389,1.80469,0.0405273
63125,k_layernorm,54,1.26746,1.38228,1.86719,0.0131836
63125,k_layernorm,55,1.49239,1.52056,1.98438,0.178711
63125,k_layernorm,56,1.51579,1.54302,1.90625,0.0253906
63125,k_layernorm,57,1.47505,1.51254,1.875,0.0639648
63125,k_layernorm,58,1.57843,1.58579,1.91406,1.13281
63125,k_layernorm,59,1.50848,1.51701,1.82031,1.04688
63125,k_layernorm,60,1.41693,1.44009,1.80469,0.570312
63125,k_layernorm,61,1.43311,1.44391,1.94531,0.777344
63125,k_layernorm,62,1.35211,1.35782,1.67969,1.0625
63125,k_layernorm,63,1.18481,1.18884,1.41406,0.839844
63125,final_layernorm,-1,1.67539,1.69203,6.125,0.386719
64000,linear_qkv,0,0.044071,0.0493599,0.625,0.00491333
64000,linear_qkv,1,0.327849,0.328806,0.757812,0.0432129
64000,linear_qkv,2,0.550399,0.551487,0.671875,0.0279541
64000,linear_qkv,3,0.678688,0.679732,1.02344,0.0341797
64000,linear_qkv,4,0.706532,0.70763,0.960938,0.0385742
64000,linear_qkv,5,0.814172,0.815396,1.09375,0.0605469
64000,linear_qkv,6,0.885572,0.886954,1.15625,0.133789
64000,linear_qkv,7,1.06994,1.07128,1.22656,0.242188
64000,linear_qkv,8,1.00549,1.00713,1.34375,0.166016
64000,linear_qkv,9,0.941723,0.943148,1.32812,0.168945
64000,linear_qkv,10,0.953729,0.955037,1.42188,0.204102
64000,linear_qkv,11,1.02053,1.02214,1.39844,0.277344
64000,linear_qkv,12,0.965327,0.966358,1.42969,0.246094
64000,linear_qkv,13,1.01595,1.0172,1.34375,0.263672
64000,linear_qkv,14,0.984614,0.985752,1.21094,0.335938
64000,linear_qkv,15,1.10145,1.10269,1.35938,0.445312
64000,linear_qkv,16,1.12163,1.12257,1.30469,0.554688
64000,linear_qkv,17,1.24143,1.24235,1.51562,0.679688
64000,linear_qkv,18,1.21159,1.21283,1.42969,0.582031
