iter,tensor,layer,mean,rms,max,min
8000,linear_qkv,61,0.999449,0.999526,1.05469,0.9375
8000,linear_qkv,62,0.988022,0.988056,1.01562,0.9375
8000,linear_qkv,63,0.985954,0.985982,1.00781,0.941406
8000,linear_fc1,0,0.914408,0.914528,0.949219,0.761719
8000,linear_fc1,1,0.907162,0.907312,0.957031,0.746094
8000,linear_fc1,2,0.914056,0.914166,0.953125,0.746094
8000,linear_fc1,3,0.887574,0.887662,0.925781,0.773438
8000,linear_fc1,4,0.892546,0.892632,0.941406,0.808594
8000,linear_fc1,5,0.866843,0.866935,0.921875,0.789062
8000,linear_fc1,6,0.853938,0.854052,0.914062,0.796875
8000,linear_fc1,7,0.865797,0.865881,0.910156,0.816406
8000,linear_fc1,8,0.875019,0.875093,0.917969,0.816406
8000,linear_fc1,9,0.888888,0.888955,0.933594,0.84375
8000,linear_fc1,10,0.897821,0.897884,0.933594,0.847656
8000,linear_fc1,11,0.90929,0.909347,0.949219,0.871094
8000,linear_fc1,12,0.919052,0.919109,0.953125,0.863281
8000,linear_fc1,13,0.929537,0.929594,0.972656,0.882812
8000,linear_fc1,14,0.937034,0.93709,0.972656,0.894531
8000,linear_fc1,15,0.943929,0.943985,0.980469,0.898438
8000,linear_fc1,16,0.948117,0.948175,0.988281,0.910156
8000,linear_fc1,17,0.949676,0.949728,0.984375,0.910156
8000,linear_fc1,18,0.955176,0.955229,0.996094,0.90625
8000,linear_fc1,19,0.962382,0.962434,0.996094,0.925781
8000,linear_fc1,20,0.966421,0.966474,1.00781,0.925781
8000,linear_fc1,21,0.97147,0.971522,1.00781,0.9375
8000,linear_fc1,22,0.975919,0.97597,1.01562,0.9375
8000,linear_fc1,23,0.978424,0.978472,1.01562,0.9375
8000,linear_fc1,24,0.984483,0.984532,1.02344,0.941406
8000,linear_fc1,25,0.990284,0.990332,1.03125,0.953125
8000,linear_fc1,26,0.994971,0.995021,1.02344,0.953125
8000,linear_fc1,27,1.00079,1.00084,1.03906,0.964844
8000,linear_fc1,28,1.006,1.00605,1.03906,0.972656
8000,linear_fc1,29,1.01174,1.01179,1.04688,0.976562
8000,linear_fc1,30,1.01747,1.01752,1.04688,0.980469
8000,linear_fc1,31,1.023,1.02305,1.05469,0.984375
8000,linear_fc1,32,1.02697,1.02702,1.0625,0.988281
8000,linear_fc1,33,1.0325,1.03255,1.07031,0.992188
8000,linear_fc1,34,1.03763,1.03768,1.07031,1
8000,linear_fc1,35,1.04305,1.04309,1.08594,1.00781
