layer,shard,amax_act,amax_wgt,amax_act_last,scale_act,scale_fwd_med,iter
self_attention.linear_proj,26,8.625,0.022583,0,51.942,51.942,4000
self_attention.linear_qkv,26,7.08172,0.106934,0,63.2615,63.2615,4000
mlp.linear_fc1,26,7.32414,0.120117,0,61.1676,61.1676,4000
mlp.linear_fc2,26,168,0.0246582,0,2.66667,2.66667,4000
self_attention.linear_proj,27,16.875,0.0257568,0,26.5481,26.5481,4000
self_attention.linear_qkv,27,7.08481,0.111816,0,63.2339,63.2339,4000
mlp.linear_fc1,27,7.24551,0.121582,0,61.8314,61.8314,4000
mlp.linear_fc2,27,98,0.0246582,0,4.57143,4.57143,4000
self_attention.linear_proj,28,10.3125,0.0212402,0,43.4424,43.4424,4000
self_attention.linear_qkv,28,7.17685,0.108887,0,62.4229,62.4229,4000
mlp.linear_fc1,28,7.3264,0.125977,0,61.1487,61.1487,4000
mlp.linear_fc2,28,218,0.0244141,0,2.05505,2.05505,4000
self_attention.linear_proj,41,7.8125,0.0202637,0,57.344,57.344,4000
self_attention.linear_qkv,41,7.30571,0.111328,0,61.3219,61.3219,4000
mlp.linear_fc1,41,7.71113,0.121582,0,58.0979,58.0979,4000
mlp.linear_fc2,41,3264,0.0239258,0,0.137255,1,4000
self_attention.linear_proj,42,8.4375,0.0201416,0,53.0963,53.0963,4000
self_attention.linear_qkv,42,7.53377,0.119629,0,59.4656,59.4656,4000
mlp.linear_fc1,42,7.95598,0.120605,0,56.3099,56.3099,4000
mlp.linear_fc2,42,828,0.0239258,0,0.541063,1,4000
self_attention.linear_proj,43,9.625,0.020752,0,46.5455,46.5455,4000
self_attention.linear_qkv,43,7.75939,0.11084,0,57.7365,57.7365,4000
mlp.linear_fc1,43,8.23606,0.124023,0,54.3949,54.3949,4000
mlp.linear_fc2,43,2128,0.0244141,0,0.210526,1,4000
self_attention.linear_proj,44,6.875,0.0219727,0,65.1636,65.1636,4000
self_attention.linear_qkv,44,8.12989,0.114746,0,55.1053,55.1053,4000
mlp.linear_fc1,44,8.55517,0.118652,0,52.366,52.366,4000
mlp.linear_fc2,44,3008,0.0240479,0,0.148936,1,4000
self_attention.linear_proj,57,21.5,0.0300293,0,20.8372,20.8372,4000
self_attention.linear_qkv,57,13.6703,0.111328,0,32.7718,32.7718,4000
mlp.linear_fc1,57,13.7195,0.124512,0,32.6542,32.6542,4000
mlp.linear_fc2,57,106.5,0.0257568,0,4.20657,4.20657,4000
self_attention.linear_proj,58,12.375,0.0235596,0,36.202,36.202,4000
self_attention.linear_qkv,58,14.407,0.121094,0,31.0961,31.0961,4000
mlp.linear_fc1,58,14.5298,0.12793,0,30.8332,30.8332,4000
mlp.linear_fc2,58,95,0.0266113,0,4.71579,4.71579,4000
self_attention.linear_proj,59,12.8125,0.0281982,0,34.9659,34.9659,4000
self_attention.linear_qkv,59,15.4531,0.118652,0,28.991,28.991,4000
mlp.linear_fc1,59,15.485,0.117676,0,28.9313,28.9313,4000
mlp.linear_fc2,59,179,0.02771,0,2.50279,2.50279,4000
self_attention.linear_proj,60,17.125,0.0209961,0,26.1606,26.1606,4000
self_attention.linear_qkv,60,16.4114,0.114746,0,27.2982,27.2982,4000
mlp.linear_fc1,60,16.5839,0.116699,0,27.0141,27.0141,4000
mlp.linear_fc2,60,170,0.0263672,0,2.63529,2.63529,4000
self_attention.linear_proj,13,16.5,0.0195312,0,27.1515,27.1515,4000
self_attention.linear_qkv,13,7.31626,0.115234,0,61.2335,61.2335,4000
mlp.linear_fc1,13,7.44024,0.122559,0,60.2131,60.2131,4000
mlp.linear_fc2,13,141,0.0245361,0,3.1773,3.1773,4000
self_attention.linear_proj,14,7.1875,0.0198975,0,62.3304,62.3304,4000
self_attention.linear_qkv,14,7.34601,0.120117,0,60.9855,60.9855,4000
mlp.linear_fc1,14,7.50475,0.118652,0,59.6955,59.6955,4000
mlp.linear_fc2,14,135,0.0230713,0,3.31852,3.31852,4000
self_attention.linear_proj,15,7.15625,0.0205078,0,62.6026,62.6026,4000
self_attention.linear_qkv,15,7.23182,0.11377,0,61.9484,61.9484,4000
mlp.linear_fc1,15,7.28656,0.123047,0,61.4831,61.4831,4000
mlp.linear_fc2,15,117,0.0223389,0,3.82906,3.82906,4000
self_attention.linear_proj,16,6.84375,0.0194092,0,65.4612,65.4612,4000
self_attention.linear_qkv,16,7.09648,0.118164,0,63.1299,63.1299,4000
mlp.linear_fc1,16,7.25833,0.123535,0,61.7222,61.7222,4000
mlp.linear_fc2,16,114,0.0228271,0,3.92982,3.92982,4000
self_attention.linear_proj,29,10.3125,0.020874,0,43.4424,43.4424,4000
self_attention.linear_qkv,29,7.2207,0.114258,0,62.0438,62.0438,4000
mlp.linear_fc1,29,7.43753,0.121582,0,60.235,60.235,4000
mlp.linear_fc2,29,219,0.0234375,0,2.04566,2.04566,4000
self_attention.linear_proj,30,10.5,0.0234375,0,42.6667,42.6667,4000
self_attention.linear_qkv,30,7.05823,0.112305,0,63.472,63.472,4000
mlp.linear_fc1,30,7.29557,0.126953,0,61.4071,61.4071,4000
mlp.linear_fc2,30,237,0.0239258,0,1.8903,1.8903,4000
self_attention.linear_proj,31,8.1875,0.0209961,0,54.7176,54.7176,4000
self_attention.linear_qkv,31,6.99781,0.114258,0,64.02,64.02,4000
mlp.linear_fc1,31,7.26809,0.125,0,61.6393,61.6393,4000
mlp.linear_fc2,31,193,0.0235596,0,2.32124,2.32124,4000
self_attention.linear_proj,32,10.125,0.0206299,0,44.2469,44.2469,4000
self_attention.linear_qkv,32,6.99953,0.114746,0,64.0043,64.0043,4000
mlp.linear_fc1,32,7.29731,0.114258,0,61.3924,61.3924,4000
mlp.linear_fc2,32,110,0.0234375,0,4.07273,4.07273,4000
self_attention.linear_proj,45,13.6875,0.0218506,0,32.7306,32.7306,4000
self_attention.linear_qkv,45,8.27972,0.112305,0,54.1081,54.1081,4000
mlp.linear_fc1,45,8.65605,0.131836,0,51.7557,51.7557,4000
mlp.linear_fc2,45,191,0.0250244,0,2.34555,2.34555,4000
self_attention.linear_proj,46,21.625,0.0305176,0,20.7168,20.7168,4000
self_attention.linear_qkv,46,8.39068,0.115234,0,53.3926,53.3926,4000
mlp.linear_fc1,46,8.78373,0.123047,0,51.0034,51.0034,4000
mlp.linear_fc2,46,976,0.0246582,0,0.459016,1,4000
self_attention.linear_proj,47,12.5,0.0212402,0,35.84,35.84,4000
self_attention.linear_qkv,47,8.7234,0.112305,0,51.3561,51.3561,4000
mlp.linear_fc1,47,9.0873,0.121582,0,49.2996,49.2996,4000
mlp.linear_fc2,47,516,0.0244141,0,0.868217,1,4000
self_attention.linear_proj,48,15.6875,0.0235596,0,28.5578,28.5578,4000
self_attention.linear_qkv,48,8.94919,0.112793,0,50.0604,50.0604,4000
mlp.linear_fc1,48,9.31892,0.117188,0,48.0743,48.0743,4000
mlp.linear_fc2,48,308,0.0251465,0,1.45455,1.45455,4000
self_attention.linear_proj,61,20.625,0.0270996,0,21.7212,21.7212,4000
self_attention.linear_qkv,61,17.676,0.112305,0,25.3451,25.3451,4000
mlp.linear_fc1,61,17.8477,0.123535,0,25.1013,25.1013,4000
mlp.linear_fc2,61,218,0.027832,0,2.05505,2.05505,4000
self_attention.linear_proj,62,9.25,0.0195312,0,48.4324,48.4324,4000
self_attention.linear_qkv,62,19.1287,0.115723,0,23.4203,23.4203,4000
mlp.linear_fc1,62,19.3832,0.122559,0,23.1128,23.1128,4000
mlp.linear_fc2,62,99.5,0.0301514,0,4.50251,4.50251,4000
self_attention.linear_proj,63,12.75,0.0179443,0,35.1373,35.1373,4000
self_attention.linear_qkv,63,20.4521,0.11377,0,21.9049,21.9049,4000
mlp.linear_fc1,63,20.6985,0.118652,0,21.6441,21.6441,4000
mlp.linear_fc2,63,302,0.0272217,0,1.48344,1.48344,4000
self_attention.linear_proj,0,18.25,0.103516,0,24.5479,24.5479,8000
self_attention.linear_qkv,0,5.93638,0.130859,0,75.4669,75.4669,8000
mlp.linear_fc1,0,20.1664,0.120117,0,22.2152,22.2152,8000
mlp.linear_fc2,0,3520,0.0957031,0,0.127273,1,8000
self_attention.linear_proj,1,15.5,0.0766602,0,28.9032,28.9032,8000
self_attention.linear_qkv,1,25.0857,0.120117,0,17.8588,17.8588,8000
mlp.linear_fc1,1,20.1994,0.125977,0,22.1789,22.1789,8000
mlp.linear_fc2,1,924,0.097168,0,0.484848,1,8000
self_attention.linear_proj,2,17.625,0.0534668,0,25.4184,25.4184,8000
self_attention.linear_qkv,2,25.3745,0.131836,0,17.6555,17.6555,8000
mlp.linear_fc1,2,20.9545,0.125977,0,21.3796,21.3796,8000
mlp.linear_fc2,2,744,0.0583496,0,0.602151,1,8000
self_attention.linear_proj,3,25.625,0.0756836,0,17.4829,17.4829,8000
