run,iteration,norm_family,tensor,layer,numel,gain_rms,gain_abs_max,baseline_iteration,gain_rms_ratio_to_baseline,finite_frac,zero_frac,sample_relative_delta_rms,sample_cosine,sample_sign_flip_frac
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,13,128,1.02685425,1.0859375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,14,128,1.00596953,1.0546875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,15,128,1.01993339,1.0859375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,16,128,1.01119121,1.0703125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,17,128,1.04287056,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,18,128,1.02180806,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,19,128,1.0528989,1.125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,20,128,1.02154436,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,21,128,1.03504327,1.109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,22,128,1.06073238,1.140625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,23,128,1.05009682,1.125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,24,128,1.06534901,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,25,128,1.0473107,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,26,128,1.03128346,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,27,128,1.06355525,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,28,128,1.03463018,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,29,128,1.04572113,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,30,128,1.0459764,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,31,128,1.02470564,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,32,128,1.03213706,1.109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,33,128,1.02861032,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,34,128,1.03540531,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,35,128,1.02897503,1.109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,36,128,1.02522762,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,37,128,1.02082953,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,38,128,1.03329894,1.125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,39,128,1.02310105,1.09375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,40,128,1.02290849,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,41,128,1.02760944,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,42,128,1.02299612,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,43,128,1.02538969,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,44,128,1.02686719,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,45,128,1.04870582,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,46,128,1.04041804,1.140625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,47,128,1.02571772,1.109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,48,128,1.07821097,1.1484375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,49,128,1.04156886,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,50,128,1.0524116,1.1015625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,51,128,1.0528942,1.1328125,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,52,128,1.05082992,1.1171875,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,53,128,1.07623252,1.140625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,54,128,1.04337454,1.109375,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,55,128,1.08699522,1.15625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,56,128,1.07353216,1.140625,4000,1,1,0,0,1,0
flagship,4000,k_norm,decoder.layers.self_attention.k_layernorm.weight,57,128,1.0696443,1.1328125,4000,1,1,0,0,1,0
