iter,run,tensor,layer,wmax,wrms
64000,cont4b,mlp.linear_fc2,25,1.86719,0.041947
64000,cont4b,mlp.linear_fc2,26,1.75,0.0419198
64000,cont4b,mlp.linear_fc2,27,1.74219,0.0421052
64000,cont4b,mlp.linear_fc2,28,1.98438,0.0421207
64000,cont4b,mlp.linear_fc2,29,1.58594,0.0421346
64000,cont4b,mlp.linear_fc2,30,1.84375,0.0421388
64000,cont4b,mlp.linear_fc2,31,2.28125,0.0422181
64000,cont4b,mlp.linear_fc2,32,1.71875,0.0423594
64000,cont4b,mlp.linear_fc2,33,1.92969,0.0424272
64000,cont4b,mlp.linear_fc2,34,1.32031,0.0425072
64000,cont4b,mlp.linear_fc2,35,1.86719,0.0425823
64000,cont4b,mlp.linear_fc2,36,2.25,0.042643
64000,cont4b,mlp.linear_fc2,37,1.72656,0.0427159
64000,cont4b,mlp.linear_fc2,38,2.48438,0.0427726
64000,cont4b,mlp.linear_fc2,39,1.1875,0.0427985
64000,cont4b,mlp.linear_fc2,40,1.57812,0.0428148
64000,cont4b,mlp.linear_fc2,41,0.875,0.0428196
64000,cont4b,mlp.linear_fc2,42,2.125,0.0428285
64000,cont4b,mlp.linear_fc2,43,1.78906,0.0428404
64000,cont4b,mlp.linear_fc2,44,2.03125,0.0428542
64000,cont4b,mlp.linear_fc2,45,1.25,0.0428783
64000,cont4b,mlp.linear_fc2,46,1.25781,0.0429152
64000,cont4b,mlp.linear_fc2,47,1.875,0.0429535
64000,cont4b,mlp.linear_fc2,48,0.957031,0.0430389
64000,cont4b,mlp.linear_fc2,49,0.976562,0.043105
64000,cont4b,mlp.linear_fc2,50,0.960938,0.0432057
64000,cont4b,mlp.linear_fc2,51,1.23438,0.0433257
64000,cont4b,mlp.linear_fc2,52,1.17188,0.0434656
64000,cont4b,mlp.linear_fc2,53,1.46875,0.043613
64000,cont4b,mlp.linear_fc2,54,1.42188,0.0437777
64000,cont4b,mlp.linear_fc2,55,1.13281,0.0439875
64000,cont4b,mlp.linear_fc2,56,1.27344,0.0441336
64000,cont4b,mlp.linear_fc2,57,1.25781,0.0440215
64000,cont4b,mlp.linear_fc2,58,1.99219,0.0435764
64000,cont4b,mlp.linear_fc2,59,1.46094,0.0428427
64000,cont4b,mlp.linear_fc2,60,1.35938,0.0418121
64000,cont4b,mlp.linear_fc2,61,2.53125,0.0394386
64000,cont4b,mlp.linear_fc2,62,2.17188,0.0357125
64000,cont4b,mlp.linear_fc2,63,1.67969,0.0267725
64000,cont4b,mlp.linear_fc1,0,0.820312,0.0359075
64000,cont4b,mlp.linear_fc1,1,1.02344,0.0422784
64000,cont4b,mlp.linear_fc1,2,1.05469,0.0434994
64000,cont4b,mlp.linear_fc1,3,1.23438,0.0428586
64000,cont4b,mlp.linear_fc1,4,1.15625,0.0421853
64000,cont4b,mlp.linear_fc1,5,0.992188,0.0415275
64000,cont4b,mlp.linear_fc1,6,1.07812,0.0410992
64000,cont4b,mlp.linear_fc1,7,0.765625,0.041476
64000,cont4b,mlp.linear_fc1,8,0.679688,0.0417709
64000,cont4b,mlp.linear_fc1,9,0.832031,0.0419978
64000,cont4b,mlp.linear_fc1,10,0.582031,0.0420326
64000,cont4b,mlp.linear_fc1,11,0.667969,0.0420311
64000,cont4b,mlp.linear_fc1,12,0.589844,0.0420241
64000,cont4b,mlp.linear_fc1,13,0.664062,0.0420474
64000,cont4b,mlp.linear_fc1,14,0.554688,0.041968
64000,cont4b,mlp.linear_fc1,15,0.664062,0.0416339
